Filename	TierName	Annotation	Duration_msec	Onset_sec	Offset_sec
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	1130.0	2530.620	2531.750
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	1720.0	2531.800	2533.520
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2300.0	2545.700	2548.000
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1800.0	2548.060	2549.860
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1320.0	2562.600	2563.920
NEWCARD_01alter	LeftIndividualSpeech	spec?	2380.0	2639.760	2642.140
NEWCARD_01alter	LeftIndividualSpeech	spec?	1480.0	2648.580	2650.060
NEWCARD_01alter	LeftIndividualSpeech	spec?	1120.0	2652.480	2653.600
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	2180.0	2654.860	2657.040
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1640.0	2666.860	2668.500
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1940.0	2670.060	2672.000
NEWCARD_01alter	LeftIndividualSpeech	no_type?	1260.0	2681.720	2682.980
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1300.0	2688.820	2690.120
NEWCARD_01alter	LeftIndividualSpeech	spec?	1400.0	2692.720	2694.120
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1020.0	2694.820	2695.840
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1700.0	2704.480	2706.180
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1020.0	2711.240	2712.260
NEWCARD_01alter	LeftIndividualSpeech	no_type?	2960.0	2714.440	2717.400
NEWCARD_01alter	LeftIndividualSpeech	what_type?	1520.0	2731.280	2732.800
NEWCARD_01alter	LeftIndividualSpeech	no_type?	2360.0	2745.280	2747.640
NEWCARD_01alter	LeftIndividualSpeech	no_spec?	1520.0	2752.940	2754.460
NEWCARD_01alter	LeftIndividualSpeech	what_suit?	1980.0	2765.260	2767.240
NEWCARD_01alter	LeftIndividualSpeech	what_suit?	1560.0	2770.440	2772.000
NEWCARD_01alter	LeftIndividualSpeech	r_id_type	2260.0	2807.980	2810.240
NEWCARD_01alter	LeftIndividualSpeech	q_yes	260.0	2818.720	2818.980
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	1400.0	2819.060	2820.460
NEWCARD_01alter	LeftIndividualSpeech	r_num_type	1800.0	2833.380	2835.180
NEWCARD_01alter	LeftIndividualSpeech	r_id_suit	3520.0	2845.600	2849.120
NEWCARD_01alter	LeftIndividualSpeech	r_num_suit	1840.0	2867.100	2868.940
NEWCARD_01alter	LeftIndividualSpeech	any_type?	6800.0	2911.940	2918.740
NEWCARD_01alter	LeftIndividualSpeech	what_type?	1320.0	2920.240	2921.560
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2360.0	2925.800	2928.160
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1420.0	2931.680	2933.100
NEWCARD_01alter	LeftIndividualSpeech	any_type?	2340.0	2938.460	2940.800
NEWCARD_01alter	LeftIndividualSpeech	what_suit?	1120.0	2951.520	2952.640
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1680.0	2958.060	2959.740
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	1540.0	2962.380	2963.920
NEWCARD_01alter	LeftIndividualSpeech	any_type?	1760.0	2966.440	2968.200
NEWCARD_01alter	LeftIndividualSpeech	prompt_to_get_card	900.0	2969.640	2970.540
